t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,4721,-2847,128441,-11371,-5605,125359,47,19237,192,0,39395,
1000,-9099,6098,134790,-260,2052,126356,61,19237,192,1,39396,0.001
2000,-5624,-13197,129725,-14806,-21270,142381,64,19231,250,1,39397,0.001
3000,-10775,-3887,129483,-11169,5648,129653,64,19234,262,1,39398,0.001
4000,-5132,22512,129069,222,22757,118227,59,19233,242,1,39399,0.001
5000,10966,30672,123453,3132,37211,114527,51,19234,209,1,39400,0.001
6000,8640,33333,129542,6885,183,116745,61,19228,250,0,39401,0.001
7000,3603,-42022,116046,-6382,-46001,156007,58,19228,250,0,39402,0.0009999999999999992
8000,-7261,-18073,130620,1285,-8891,125586,55,19236,238,0,39403,0.0010000000000000009
9000,-5874,18251,135299,-18490,20213,116851,55,19238,225,0,39404,0.0009999999999999992
10000,-3745,14685,134859,-16972,5210,130887,48,19236,197,0,39405,0.0010000000000000009
11000,-3420,1117,129064,1364,-4512,130006,55,19231,225,1,39406,0.0009999999999999992
12000,-4243,-10482,119927,6997,-13450,133543,69,19230,283,1,39407,0.0010000000000000009
13000,-942,9198,121311,-5685,15091,108041,65,19230,283,1,39408,0.0009999999999999992
14002,9916,25718,127381,-5687,20463,115450,51,19235,266,1,39409,0.0010019999999999994
15000,9362,11821,127771,12722,6543,123947,54,19237,209,1,39410,0.0009980000000000006
16003,-2040,-4344,129629,-8204,-12938,135553,54,19232,221,0,39411,0.0010030000000000004
17000,-12235,-23181,128525,-18255,-27709,137905,82,19232,336,0,39412,0.0009969999999999979
18000,-11462,-9553,126836,-7340,-6305,128577,54,19236,221,0,39413,0.0010000000000000009
19000,-1579,10382,131049,2268,8989,127960,42,19236,172,0,39414,0.0010000000000000009
20000,16536,14076,124048,5059,11653,114894,48,19241,172,0,39415,0.0010000000000000009
21000,11657,18283,125347,9138,14197,123158,71,19232,197,1,39416,0.0009999999999999974
22000,6472,876,122725,912,-6345,126482,71,19234,291,1,39417,0.0010000000000000009
23000,-5075,-8804,126658,-1723,-9918,130858,63,19235,258,1,39418,0.0010000000000000009
24000,-2815,-1967,133029,-9641,-2312,132668,50,19234,205,1,39419,0.0010000000000000009
25000,-2259,6602,134314,-7121,4503,125405,47,19234,192,1,39420,0.0009999999999999974
26000,-3596,3056,131756,-4241,-10168,130934,71,19240,192,0,39421,0.0010000000000000009
27000,516,-12475,126602,423,-22263,134112,57,19238,291,0,39422,0.0010000000000000009
28000,7348,-15072,122835,8133,-6453,128428,57,19235,233,0,39423,0.0009999999999999974
29000,8841,8647,126839,983,22317,115047,46,19239,188,0,39424,0.0010000000000000009
30000,10169,28908,131665,-3917,21288,120999,43,19235,176,0,39425,0.0010000000000000009
31000,-3434,14064,128287,-3491,-2493,131689,61,19235,250,1,39426,0.0010000000000000009
32000,-7179,-6534,129650,-7287,-17984,139396,58,19228,250,1,39427,0.0010000000000000009
33000,-6144,-16476,128760,-1343,-15702,133769,50,19233,238,1,39428,0.0010000000000000009
34000,7772,-4253,131830,9769,-1106,125400,50,19236,205,1,39429,0.000999999999999994
35014,15505,2376,131132,3954,-114,124775,42,19239,172,1,39430,0.001014000000000001
36002,12241,5731,130074,2157,-1469,130216,59,19232,242,0,39431,0.0009880000000000028
37000,2073,-5348,126697,2483,-8473,132581,51,19237,209,0,39432,0.0009979999999999989
38000,-3129,5997,126485,-2183,9114,123266,48,19237,209,0,39433,0.0010000000000000009
39000,-5224,9699,128391,-7654,6160,127623,43,19238,197,0,39434,0.0010000000000000009
40000,4729,12312,129794,-495,9833,121785,43,19237,176,0,39435,0.0010000000000000009
41002,4277,2590,129680,5331,-10108,132568,58,19232,238,1,39436,0.001001999999999996
42000,7689,-10381,127175,4814,-12842,127267,61,19236,250,1,39437,0.0009979999999999989
43002,3755,-10382,125470,-6832,-13572,127966,57,19232,233,1,39438,0.0010020000000000029
44000,3204,-875,128670,1812,3218,126717,45,19232,233,1,39439,0.0009979999999999989
45000,-706,9212,128095,-2833,5617,126373,57,19235,184,1,39440,0.0010000000000000009
46000,-4277,8008,129506,-11188,4369,130436,57,19230,233,0,39441,0.0010000000000000009
47000,-8562,23727,123302,5501,8981,119871,54,19236,221,0,39442,0.0010000000000000009
48000,5643,-5684,124990,6613,-14174,131694,48,19238,197,0,39443,0.0010000000000000009
49001,7624,5643,126752,12748,16722,113677,42,19238,172,0,39444,0.001000999999999995
50000,6239,9895,129027,1373,-6073,131430,55,19238,172,0,39445,0.0009989999999999999
51000,7014,-5408,125999,-7799,-3788,118433,62,19230,225,1,39446,0.0010000000000000009
52000,-8222,-12841,126163,1724,-23842,147375,62,19235,254,1,39447,0.0010000000000000009
53000,-6329,-3989,128317,-8797,9147,118743,62,19237,254,1,39448,0.0010000000000000009
54000,-4956,22027,129678,-19640,15715,120556,54,19237,221,1,39449,0.0010000000000000009
55000,2372,18700,128221,10320,16625,124213,57,19233,233,1,39450,0.0010000000000000009
56000,4081,4908,123644,-1745,-6600,125391,81,19233,233,0,39451,0.000999999999999994
57000,585,-6658,123929,-805,-4197,132185,57,19236,332,0,39452,0.0010000000000000009
58000,585,6012,128022,-4215,2750,119079,57,19238,233,0,39453,0.0010000000000000009
