t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,3420,6460,129024,3452,2006,126310,100,19229,410,1,13729,
998,2475,3480,128654,-861,-372,122984,157,19209,643,1,13730,0.000998
1998,1108,762,128782,-7315,-1632,134402,171,19209,643,1,13731,0.0009999999999999998
2998,-343,-1689,128076,4432,-4379,125669,173,19217,700,1,13732,0.001
3998,1056,2208,126079,-269,265,124163,173,19217,709,1,13733,0.001
4998,1736,6126,129408,-10595,3221,126070,174,19213,713,1,13734,0.001
5998,-609,8192,128755,-3810,5464,124638,183,19219,750,1,13735,0.001
6998,-1455,2299,127100,2119,-2004,126083,202,19216,827,0,13736,0.001
7998,-1522,-5644,127527,-2289,-8210,132832,124,19216,508,0,13737,0.001
8998,5962,-3968,127621,1329,-8297,129513,162,19226,508,0,13738,0.0009999999999999992
9998,7082,-272,127446,-2067,-2163,125496,179,19216,664,0,13739,0.0010000000000000009
10998,-2640,9120,129720,523,6376,124303,179,19217,733,0,13740,0.0009999999999999992
11998,-2915,7915,128540,-6983,5323,126157,180,19219,737,0,13741,0.0010000000000000009
12998,-3984,7102,127354,-6593,4791,126909,178,19218,729,0,13742,0.0009999999999999992
13998,-2184,4021,127144,-7147,1247,122899,185,19218,758,0,13743,0.0010000000000000009
14998,705,-4693,127205,-2587,-7985,130539,199,19215,758,0,13744,0.0009999999999999992
15998,1829,-6748,128100,5337,-9377,129840,208,19209,815,0,13745,0.0009999999999999992
16998,4161,-3349,128662,-1794,-6620,130622,208,19212,852,0,13746,0.0010000000000000009
17999,3563,7365,129863,-4840,4747,127400,214,19212,876,0,13747,0.0010009999999999984
18998,2369,12149,128757,-3677,9321,122325,221,19213,905,0,13748,0.0009989999999999999
19998,-2879,5434,126215,1679,3168,123455,181,19213,741,1,13749,0.0010000000000000009
20998,212,-5547,124904,-4576,-8820,128576,154,19242,741,1,13750,0.0010000000000000009
21999,-96,-5746,128449,-1638,-7941,128424,174,19221,631,1,13751,0.0010009999999999984
22998,904,-682,127713,-1475,-3733,127926,174,19218,713,1,13752,0.0009989999999999999
24000,2104,6408,131236,-878,3215,127529,177,19217,725,1,13753,0.0010020000000000029
24998,3647,10265,129730,-3118,7988,126551,171,19220,700,1,13754,0.0009979999999999989
25998,3635,3168,126853,-1038,1842,125028,175,19217,717,1,13755,0.0010000000000000009
26998,-190,-2224,124694,-1508,-5202,126934,192,19217,717,1,13756,0.0009999999999999974
27998,-3631,-2724,126802,-1241,-4486,123840,129,19226,786,0,13757,0.0010000000000000009
28998,4570,-2812,125030,-1327,-8729,129644,129,19231,528,0,13758,0.0010000000000000009
29998,-59,5360,128493,857,862,127663,155,19218,635,0,13759,0.0010000000000000009
30998,-121,9088,130475,-10399,6129,126719,169,19224,692,0,13760,0.0009999999999999974
