t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,-3866,-11909,128438,-6364,-18981,149761,799,19148,2851,0,51819,
1000,-5516,2385,127298,3957,3543,119067,799,19164,3272,0,51820,0.001
1998,126,-2748,134087,-14580,-16521,142594,605,19138,2478,1,51821,0.0009979999999999998
2998,-3025,8097,131156,-7187,17664,117819,881,19166,3608,1,51822,0.001
3998,-1961,15416,132987,-4563,-6138,140102,744,19115,3047,0,51823,0.001
4998,1256,-8731,128484,-8467,-6491,136128,584,19115,2392,0,51824,0.001
5998,7032,26336,135291,8646,7430,125296,719,19166,2392,1,51825,0.001
6998,5183,-17591,126290,-229,-14991,146208,687,19149,2945,1,51826,0.001
7998,-317,730,132763,665,14704,119280,687,19128,2814,0,51827,0.001
8998,-5544,-1836,130187,-11940,-19037,145228,954,19193,3907,0,51828,0.0009999999999999992
10001,5437,-17131,128065,4767,-3504,133253,660,19127,2703,1,51829,0.0010030000000000004
11000,4181,2224,131010,-2922,-7589,131415,696,19127,2851,1,51830,0.0009989999999999999
11998,12812,-34,126896,29415,-2289,130055,790,19151,2851,0,51831,0.0009980000000000006
12998,2823,10109,122608,1449,-13683,127158,590,19150,3236,0,51832,0.0009999999999999992
13998,11167,-17051,124824,-10098,519,130359,590,19147,2416,1,51833,0.0010000000000000009
14998,6594,14753,126281,10488,21058,109121,905,19174,3707,1,51834,0.0009999999999999992
15998,-1194,-3640,124950,11751,-11623,131700,746,19114,3055,0,51835,0.0009999999999999992
16998,-6494,-23580,120019,-27745,-22537,132238,686,19169,2810,0,51836,0.0010000000000000009
17998,3653,-5769,125771,513,-4414,118141,718,19169,2810,1,51837,0.0010000000000000009
18998,-2232,18539,120939,15057,12371,113204,676,19148,2941,1,51838,0.0009999999999999974
19999,-4783,40655,129062,-17520,17184,103348,676,19133,2769,0,51839,0.0010010000000000019
20998,-22,-8665,118246,-6178,-15845,134111,888,19186,3637,0,51840,0.0009989999999999999
22000,-1227,-4200,128166,8373,-2043,126497,664,19131,2720,1,51841,0.0010019999999999994
22998,-2516,14190,121695,-21472,17134,110983,716,19154,2933,1,51842,0.0009979999999999989
