t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,3867,3774,127181,-1916,348,125891,73,19512,332,0,17198,
1000,1944,2144,128703,-3692,-3485,129250,62,19510,299,0,17199,0.001
2001,904,4130,125691,-1705,2872,123522,62,19516,254,0,17200,0.0010009999999999997
2999,-644,5465,127469,3242,323,127904,63,19516,258,1,17201,0.0009980000000000002
3999,-1849,-680,125815,-7114,5772,127282,54,19518,221,1,17202,0.001
4999,-993,3684,127444,-1736,-1899,124802,61,19519,250,1,17203,0.001
5999,475,1980,127418,1014,863,126990,54,19519,221,1,17204,0.001
6999,2985,8017,126927,-1693,-1000,126280,54,19520,221,1,17205,0.001
7999,-155,1843,127428,-3435,2146,123723,60,19516,221,0,17206,0.0009999999999999992
9001,1786,12824,128897,1161,5959,125205,60,19512,246,0,17207,0.0010020000000000012
9999,-4898,-2511,127356,-7409,-7148,130298,77,19516,315,0,17208,0.0009979999999999989
10999,1001,-5506,127572,1113,-3970,128076,65,19516,266,0,17209,0.0010000000000000009
12000,-4320,13917,129341,-5304,14680,115414,61,19516,250,0,17210,0.0010010000000000002
13008,4061,6287,127716,1791,-1004,130961,81,19515,250,1,17211,0.0010079999999999985
14001,-3642,3409,130448,4776,-2775,126216,61,19518,332,1,17212,0.0009930000000000008
14999,1280,-1406,128991,-14468,1035,124751,61,19516,250,1,17213,0.0009980000000000006
15999,-641,-3069,133218,3168,-6065,133018,60,19520,246,1,17214,0.0009999999999999992
16999,-2210,-5080,128115,2941,-9877,129924,56,19519,229,1,17215,0.0010000000000000009
17999,-5882,5259,127651,-10986,6285,123970,77,19519,315,0,17216,0.0009999999999999974
18999,-3775,8782,126225,-9268,1530,123577,73,19516,315,0,17217,0.0010000000000000009
19999,5503,17291,129213,2622,10208,122011,69,19516,299,0,17218,0.0010000000000000009
20999,2907,-3282,123376,-1978,-9982,129804,69,19517,283,0,17219,0.0010000000000000009
22002,-391,-1332,127741,430,-1970,128327,58,19519,238,1,17220,0.0010030000000000004
22999,199,1266,127363,2032,-4053,127158,65,19518,266,1,17221,0.0009969999999999979
23999,3543,-1314,127220,-2726,-5153,129218,67,19519,274,1,17222,0.0010000000000000009
25002,-2950,8804,129304,-5412,5860,126093,69,19519,274,1,17223,0.0010030000000000004
25999,-2862,6751,126615,1183,1934,125814,57,19514,283,1,17224,0.0009969999999999979
26999,1001,3727,127342,-7709,1006,123360,57,19519,233,1,17225,0.0010000000000000009
27999,3136,3854,128666,-660,-1693,129061,68,19510,279,0,17226,0.0010000000000000009
28999,-414,123,126361,8141,-204,125353,80,19512,328,0,17227,0.0009999999999999974
29999,2483,2960,129071,-4657,-1380,128167,76,19513,311,0,17228,0.0010000000000000009
31000,3318,-7494,126340,-5351,-11143,134844,66,19513,311,0,17229,0.0010010000000000019
31999,1951,6436,129035,7417,2803,122806,65,19517,270,0,17230,0.0009989999999999999
32999,1571,8720,127911,-2919,2940,123242,65,19511,266,1,17231,0.0010000000000000009
34001,2870,2340,125909,-3476,-1994,127186,62,19516,254,1,17232,0.001001999999999996
34999,-303,-3881,127400,-334,-7696,129940,63,19517,258,1,17233,0.0009979999999999989
35999,2721,10872,128951,3042,8832,125154,56,19519,229,1,17234,0.0010000000000000009
36999,2979,-4614,128769,-5023,-14080,123966,59,19519,229,1,17235,0.0010000000000000009
38001,1995,-8713,125420,2900,-11009,140355,64,19513,242,0,17236,0.0010020000000000029
38999,3221,8177,129828,5652,6112,119665,64,19513,262,0,17237,0.0009979999999999989
39999,5422,9625,125961,-1674,5774,120479,80,19513,328,0,17238,0.0010000000000000009
41001,3613,2356,128610,-1042,-1634,132335,69,19517,283,0,17239,0.001001999999999996
41999,398,-11842,125938,1003,-14240,130734,62,19516,254,0,17240,0.0009979999999999989
42999,2789,2333,127588,-168,-1396,125153,83,19516,254,1,17241,0.0010000000000000009
43999,-2270,4129,129597,3340,1296,129958,62,19513,340,1,17242,0.0010000000000000009
45002,3292,-2719,126315,-4562,-6742,127653,62,19516,254,1,17243,0.0010030000000000039
45999,4070,4181,128304,1323,579,130016,62,19518,254,1,17244,0.0009969999999999979
46999,6367,6664,128613,9514,2677,119722,58,19519,238,1,17245,0.0010000000000000009
47999,1559,5659,128760,-3718,-3540,123686,77,19512,315,0,17246,0.0010000000000000009
49002,110,-6687,127204,-848,-15430,139693,72,19512,315,0,17247,0.001002999999999997
50001,1997,-5151,129291,4181,1975,125407,69,19512,295,0,17248,0.0009989999999999999
50999,-27,13438,130425,-3180,-346,123267,69,19516,283,0,17249,0.0009979999999999989
51999,3028,3495,127116,-171,1996,128123,59,19517,242,1,17250,0.0010000000000000009
52999,2340,1510,129756,4484,-4584,127878,66,19519,270,1,17251,0.0010000000000000009
53999,7322,-1456,126725,-201,-3793,129351,65,19516,266,1,17252,0.0010000000000000009
55001,-639,4208,129796,1988,1176,125883,68,19516,279,1,17253,0.001001999999999996
55999,-187,6267,128377,-2407,-1111,123602,54,19518,279,1,17254,0.0009980000000000058
56999,2305,5061,128236,-2331,2512,128283,63,19516,221,1,17255,0.000999999999999994
57999,-1268,-296,128618,-1326,-7070,130311,63,19514,258,0,17256,0.0010000000000000009
58999,-1784,-1244,126200,1291,-51,122925,81,19512,332,0,17257,0.0010000000000000009
59999,2292,5031,130252,-3276,13297,123754,75,19514,307,0,17258,0.0010000000000000009
60999,5412,-15625,129423,189,-18154,136163,64,19514,262,0,17259,0.0010000000000000009
61999,-1843,16985,129220,2428,-2243,124868,64,19518,262,0,17260,0.0010000000000000009
62999,-2033,2036,127877,-5559,-350,126862,57,19514,262,1,17261,0.0010000000000000009
63999,-1303,555,127887,-1929,-5392,129440,57,19517,233,1,17262,0.0010000000000000009
64999,-3670,12460,126322,-5005,6204,122809,60,19516,246,1,17263,0.0010000000000000009
65999,1156,-3089,125975,-51,-8710,130175,52,19521,213,1,17264,0.0010000000000000009
66999,2952,9363,126969,-4037,9698,123214,56,19519,229,0,17265,0.0010000000000000009
67999,1773,6944,125864,627,2885,122978,61,19519,229,0,17266,0.000999999999999987
68999,1037,1940,126346,1893,-1082,125437,78,19517,250,0,17267,0.0010000000000000009
70000,-1738,-592,126014,-7009,-7840,133741,78,19515,319,0,17268,0.0010010000000000019
70999,-1261,1286,127980,-9954,8754,122424,62,19518,254,0,17269,0.0009989999999999999
72001,-921,2474,125130,6486,-1349,123465,58,19514,238,0,17270,0.0010020000000000029
72999,-3914,7177,127849,40,3668,125729,79,19518,324,1,17271,0.0009979999999999989
73999,3224,955,126894,-13068,-5991,128148,60,19518,324,1,17272,0.0010000000000000009
74999,751,-10791,129853,8719,-6811,131080,58,19516,246,1,17273,0.0010000000000000009
76000,1397,18380,130384,-9339,9494,119729,58,19519,238,1,17274,0.0010010000000000019
76999,-106,-3691,126743,-1324,-10271,128669,55,19519,225,1,17275,0.0009989999999999999
77999,-10974,-4947,126453,1814,-7611,134073,75,19512,307,0,17276,0.0010000000000000009
78999,-80,1709,125891,-13757,-315,123000,71,19513,291,0,17277,0.0010000000000000009
79999,-1411,20406,127355,-2231,20497,119168,69,19513,291,0,17278,0.0010000000000000009
81000,6543,10679,127988,2555,3417,125863,59,19516,283,0,17279,0.0010010000000000019
81999,-283,-6876,123190,859,-9421,129105,59,19520,242,1,17280,0.0009989999999999999
83001,1136,413,130924,-2945,-2792,128631,65,19521,266,1,17281,0.001001999999999989
84001,4278,-2744,127640,2072,-5186,129767,68,19517,279,1,17282,0.0010000000000000009
84999,-3813,5783,129225,-1150,2710,124526,69,19516,283,1,17283,0.0009979999999999989
85999,-969,9446,128288,-6730,6781,129929,57,19516,283,1,17284,0.0010000000000000009
87001,-1258,5604,127615,-702,2998,123392,66,19515,233,1,17285,0.0010020000000000029
87999,3494,527,127069,-3964,-3412,127705,66,19513,270,0,17286,0.0009979999999999989
88999,-446,-624,129121,7910,-2335,127995,84,19513,344,0,17287,0.0010000000000000009
89999,4695,2009,129237,-3612,-1889,124510,77,19512,315,0,17288,0.0010000000000000009
90999,2654,-1897,130082,-4804,-5025,133749,64,19518,262,0,17289,0.0010000000000000009
92005,-865,-5635,127274,5824,-9178,125988,66,19518,270,0,17290,0.001005999999999993
93009,355,6445,127452,-2671,2980,122015,64,19514,270,1,17291,0.0010040000000000049
93999,831,5685,128634,-3428,2673,128469,64,19518,262,1,17292,0.0009900000000000048
94999,3009,-1977,127549,-2844,6805,129083,62,19516,254,1,17293,0.0010000000000000009
96002,2887,-10567,129278,12047,-6115,126696,57,19518,233,1,17294,0.00100299999999999
96999,1891,7902,129287,-1799,1687,131374,58,19516,238,0,17295,0.0009970000000000118
97999,93,1004,128409,-5329,-2605,124420,64,19516,262,0,17296,0.000999999999999987
98999,3184,1430,126233,9554,-7656,130770,79,19514,262,0,17297,0.0010000000000000009
99999,5162,2894,126996,-3505,1704,128375,68,19511,324,0,17298,0.0010000000000000009
100999,-475,9943,128694,154,4384,120534,68,19517,279,0,17299,0.0010000000000000009
101999,3238,-2601,126157,856,-7108,130177,60,19514,246,0,17300,0.0010000000000000009
102999,3518,-2819,128519,1931,-1484,131567,83,19511,340,1,17301,0.0010000000000000009
103999,3136,3973,129390,-1351,-1740,123928,61,19511,250,1,17302,0.0010000000000000009
104999,860,433,126341,3630,-7776,128539,63,19514,250,1,17303,0.0010000000000000009
105999,2249,5999,131672,-6194,4804,130624,58,19517,258,1,17304,0.0010000000000000009
107000,8762,1131,126732,6876,-2841,119194,58,19520,238,1,17305,0.0010010000000000019
107999,-2652,5031,129305,4728,-205,130628,74,19512,303,0,17306,0.0009989999999999999
108999,925,-2968,128665,-10493,-5569,130679,71,19513,291,0,17307,0.0010000000000000009
109999,3436,2854,126389,3798,-1396,121815,70,19513,287,0,17308,0.0010000000000000009
110999,3369,6341,129500,3181,979,133243,59,19516,287,0,17309,0.0010000000000000009
111999,3882,629,128904,-984,-3587,124923,64,19516,242,1,17310,0.0010000000000000009
112999,1677,-103,127037,6725,-390,124465,64,19520,262,1,17311,0.000999999999999987
113999,5048,-1197,129394,-3757,-4077,132221,67,19513,274,1,17312,0.0010000000000000009
114999,-1140,9233,128796,983,9064,120614,68,19516,279,1,17313,0.0010000000000000009
116000,1367,1604,127772,615,-2973,130439,57,19521,233,1,17314,0.0010010000000000019
116999,-335,666,128115,-5664,-917,127679,65,19521,233,1,17315,0.0009989999999999999
117999,591,2573,129161,1344,-3496,126474,81,19512,266,0,17316,0.0010000000000000009
118999,421,-3069,127972,5554,-4142,128476,81,19510,332,0,17317,0.0010000000000000009
119999,1012,10110,129477,-9487,8460,128085,77,19511,315,0,17318,0.0010000000000000009
121002,4358,955,126567,-3173,-478,127991,66,19518,270,0,17319,0.0010030000000000039
121999,-1503,8159,127640,5266,5709,121365,64,19512,262,1,17320,0.0009969999999999979
122999,-2041,3170,130082,-5640,-8628,124887,59,19512,262,1,17321,0.0010000000000000009
123999,-2699,-2766,129117,-1990,-1900,126195,64,19515,242,1,17322,0.0010000000000000009
124999,-2093,6847,131873,-1437,-1554,128748,64,19519,262,1,17323,0.0010000000000000009
125999,3269,-4095,126590,417,-5182,127290,55,19518,225,1,17324,0.0010000000000000009
126999,-509,15267,130709,-1444,9641,121690,57,19518,233,0,17325,0.0010000000000000009
127999,-2119,4368,129626,-7722,-1703,125599,63,19514,258,0,17326,0.0010000000000000009
128999,-1945,1285,129509,5122,892,134128,77,19514,258,0,17327,0.0010000000000000009
129999,-2525,-4925,125294,-4065,-9716,125471,65,19516,315,0,17328,0.0010000000000000009
130999,2377,14742,128693,-12933,13374,122255,65,19516,266,0,17329,0.0010000000000000009
131999,2877,5557,124695,7497,791,128353,58,19516,238,0,17330,0.0010000000000000009
133001,-341,5621,125360,6567,3997,123837,79,19516,324,1,17331,0.0010019999999999751
133999,3720,9541,128013,-16764,6947,137123,60,19517,246,1,17332,0.0009980000000000266
134999,551,-7528,124935,922,-10450,127644,59,19517,246,1,17333,0.0009999999999999731
135999,3919,2916,129201,4507,108,125242,56,19516,242,1,17334,0.0010000000000000009
137000,-3594,1193,127980,-5140,-1685,130051,56,19519,229,0,17335,0.0010010000000000019
137999,-10126,8509,127662,-11071,5446,123276,74,19515,303,0,17336,0.0009989999999999999
138999,3845,5746,128147,-2984,3739,127418,69,19514,283,0,17337,0.0010000000000000009
139999,-1238,7323,128744,7479,4377,121583,71,19520,291,0,17338,0.0010000000000000009
