t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,-3043,8113,134044,-26210,-403,129102,183,19220,750,1,19377,
1000,-9302,22487,131911,-15216,31968,125012,169,19217,692,1,19378,0.001
2000,-12084,-13789,119603,4120,-39241,125515,185,19217,758,1,19379,0.001
3000,-15422,-38016,120819,-21105,-28227,157281,177,19206,758,0,19380,0.001
4000,-2962,22554,135840,-15130,24091,105732,145,19224,725,0,19381,0.001
5000,15433,24248,122011,-2239,24303,113921,145,19218,594,0,19382,0.001
6000,-9266,38601,135916,-4877,25082,125735,173,19213,709,1,19383,0.001
7000,-6916,-17065,114780,-12523,-25184,126166,157,19220,643,1,19384,0.0009999999999999992
8000,-9034,3089,122447,-14038,2988,126950,164,19218,672,1,19385,0.0010000000000000009
9003,-3047,-11436,123570,8302,-14333,127278,208,19218,672,0,19386,0.0010029999999999987
10002,8574,13508,123952,5360,16150,124128,145,19224,852,0,19387,0.0009989999999999999
11000,11393,45533,134097,-1967,41979,101359,145,19217,594,0,19388,0.0009980000000000006
12000,11805,-5759,115117,3067,-14270,127963,154,19216,631,1,19389,0.0010000000000000009
13000,-1582,-17452,125729,14352,-20728,135330,212,19222,868,1,19390,0.0009999999999999992
14000,-1399,-23658,117693,-756,-26885,137536,155,19222,635,1,19391,0.0009999999999999992
15000,10120,31033,129658,-2919,33247,107621,159,19222,635,1,19392,0.0010000000000000009
16000,6066,41371,128699,4906,37818,109800,128,19212,651,0,19393,0.0010000000000000009
17000,18687,21946,125424,7721,14112,123625,128,19220,524,0,19394,0.0009999999999999974
18001,2121,-44322,116147,13595,-49483,142563,152,19217,623,0,19395,0.0010010000000000019
19000,11966,-6191,125985,14002,-5802,128723,165,19210,676,1,19396,0.0009989999999999999
20000,7824,25498,128663,6107,24578,112568,145,19218,594,1,19397,0.0010000000000000009
21000,12151,45623,135355,-4269,43616,106377,163,19218,594,1,19398,0.0009999999999999974
22002,4582,-33412,125099,12113,-38104,150221,201,19218,668,0,19399,0.0010020000000000029
23000,-1939,-14434,131399,6518,-19250,116501,201,19212,823,0,19400,0.0009979999999999989
24001,18714,-16040,119203,7778,-17762,128790,148,19218,606,0,19401,0.0010009999999999984
25000,3251,23325,136272,13581,18564,116258,149,19213,610,0,19402,0.0009989999999999999
26000,20257,3136,126345,1613,-594,141815,195,19219,799,1,19403,0.0010000000000000009
27000,-306,-8579,134446,2499,-12115,129840,168,19219,799,1,19404,0.0010000000000000009
28000,-2669,-13579,125348,-1388,-30540,137378,181,19217,688,1,19405,0.0009999999999999974
29000,-2432,9055,131812,-3936,35992,116663,181,19209,741,0,19406,0.0010000000000000009
30000,-9714,22204,133518,-10837,-10515,123367,235,19224,962,0,19407,0.0010000000000000009
31000,8340,-22754,122686,-6460,-20174,150728,163,19220,668,0,19408,0.0010000000000000009
32001,-4699,-5903,138730,14,-8948,125693,169,19209,692,1,19409,0.0010010000000000019
33000,1180,-11253,127299,-10657,-10543,129592,189,19209,692,1,19410,0.0009989999999999999
34000,-118,14727,133319,-9307,23230,125079,167,19221,774,1,19411,0.000999999999999994
35000,-3534,24203,135072,-10636,15016,121609,167,19218,684,1,19412,0.0010000000000000009
36000,-9700,887,124780,-12554,-14776,134940,188,19207,770,0,19413,0.0010000000000000009
37000,-12555,-25340,128517,-19638,-27489,136245,130,19222,532,0,19414,0.0010000000000000009
38000,-1947,-15114,132365,6354,-9448,132090,156,19215,639,0,19415,0.0010000000000000009
39001,-2818,15408,137772,-7343,19491,120044,193,19215,790,1,19416,0.0010010000000000019
40000,-8077,14146,136603,-31935,9896,132771,165,19213,790,1,19417,0.0009989999999999999
41000,-6621,29275,132169,-7979,26149,120385,170,19221,676,1,19418,0.000999999999999994
42000,-14122,-23646,116672,948,-42242,137135,170,19212,696,1,19419,0.0010000000000000009
