t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,648,24707,132012,4724,20291,116271,367,19174,1503,0,4364,
1001,11882,15589,121828,-18621,-11099,125765,542,19142,2220,1,4365,0.001001
2000,-3443,-28244,117485,25659,-36812,141498,395,19142,2220,1,4366,0.000999
3001,15066,-17859,115208,3210,-1960,116488,581,19175,1618,1,4367,0.0010009999999999997
4000,-470,27658,122839,-20474,39436,92852,581,19149,2380,0,4368,0.0009990000000000003
5000,5472,34228,124338,14633,22536,113425,403,19179,1651,0,4369,0.001
6003,3602,10262,125371,590,-11837,115520,518,19148,2122,1,4370,0.0010029999999999996
7000,-4863,-33155,109546,9339,-38686,142750,460,19172,1884,1,4371,0.0009969999999999996
8000,2311,-13183,122450,10910,-2469,106705,575,19172,1884,1,4372,0.0010000000000000009
9000,-6709,-1424,124322,-35632,-1499,128652,639,19151,2355,0,4373,0.0009999999999999992
10001,10694,32758,126190,8288,40570,114208,639,19199,2617,0,4374,0.0010010000000000002
11000,9919,23738,125160,20085,-1742,103892,477,19167,1954,1,4375,0.0009989999999999999
12002,-11106,-19710,118153,-31562,-36489,154279,536,19179,2195,1,4376,0.0010019999999999994
13002,-10813,-26167,126026,-8482,-11609,113057,543,19157,2224,1,4377,0.0010000000000000009
14000,-2943,11303,126335,-4256,11994,118202,613,19157,2224,0,4378,0.0009979999999999989
15000,-8544,19889,135882,-12918,29015,129689,474,19198,2511,0,4379,0.0010000000000000009
16000,-1446,39658,134908,-25445,27382,110282,474,19169,1941,1,4380,0.0010000000000000009
17001,-14502,13377,126428,-22865,5214,121979,652,19190,2670,1,4381,0.0010009999999999984
18001,-11739,-31074,125952,601,-54614,169480,505,19171,2068,1,4382,0.0010000000000000009
19002,-9124,-10532,128613,-18557,26096,115492,643,19205,2634,0,4383,0.0010009999999999984
20002,10071,63217,137404,-11864,44125,111738,460,19205,2634,0,4384,0.0010000000000000009
21002,7998,32447,138065,677,27541,134675,612,19171,1884,1,4385,0.0010000000000000009
22000,2234,-4891,137153,7663,-30904,150142,612,19187,2507,1,4386,0.0009979999999999989
23000,217,-43890,126552,1083,-39993,152908,505,19165,2068,1,4387,0.0010000000000000009
24000,3367,-15758,136419,-2991,-2672,139763,624,19177,2556,0,4388,0.0010000000000000009
25000,5672,39743,142648,11035,37354,120864,419,19174,1716,0,4389,0.0009999999999999974
26000,18365,3184,132909,-1053,-14465,136100,581,19174,1716,1,4390,0.0010000000000000009
27000,6019,-31645,134383,5786,-44339,169705,488,19170,2380,1,4391,0.0010000000000000009
28000,11882,-45380,124450,16825,-39493,135090,488,19168,1999,1,4392,0.0009999999999999974
29000,-1640,17583,133159,215,26691,117078,607,19148,2486,0,4393,0.0010000000000000009
30000,4270,37624,131174,-6776,33259,106563,351,19180,1438,0,4394,0.0010000000000000009
31000,7253,8619,125776,3776,-3284,127796,544,19149,2228,1,4395,0.0010000000000000009
32000,1674,-38667,114869,7193,-45720,145143,412,19149,1687,1,4396,0.0010000000000000009
33000,-7208,-8790,118801,11209,-6085,107884,571,19169,1687,1,4397,0.0010000000000000009
34000,11966,22218,123024,-22200,24955,99306,439,19143,2339,0,4398,0.000999999999999994
35000,3795,53920,124755,7547,46433,113289,439,19184,1798,0,4399,0.0010000000000000009
36000,11830,-1509,115481,8139,-17295,128320,510,19149,2089,1,4400,0.0010000000000000009
37000,-9249,-32004,117668,-4410,-24041,137887,495,19172,2027,1,4401,0.0010000000000000009
38000,-3142,-15832,119366,5962,-15301,113250,573,19172,2347,1,4402,0.0010000000000000009
39000,-614,-10,126556,-11366,28335,115001,678,19149,2347,0,4403,0.0010000000000000009
40000,1893,43488,135163,-8855,30249,110374,466,19203,2777,0,4404,0.0010000000000000009
41001,8546,7369,123837,3753,-17833,125824,466,19167,1909,1,4405,0.001000999999999995
42019,-11812,-25965,120507,-14599,-34474,138063,562,19180,2302,1,4406,0.001018000000000005
43000,-7413,-23276,123325,-1658,-1977,107661,544,19162,2228,1,4407,0.0009809999999999958
44000,-4337,9588,128064,-17017,20022,122821,663,19162,2715,0,4408,0.0010000000000000009
