t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,6413,13887,129404,10124,10838,122828,69,19234,283,0,25668,
1000,5470,-9151,126926,4604,-9345,136742,93,19229,283,1,25669,0.001
2000,447,-492,127550,-10965,-228,124530,64,19228,381,1,25670,0.001
3000,-5732,7018,125755,-1740,3227,124349,64,19234,262,1,25671,0.001
4000,5686,10534,131611,-2784,2528,124226,62,19232,254,1,25672,0.001
5000,3283,-1390,128432,-666,-8410,136217,60,19235,246,1,25673,0.001
6000,-2423,1187,127465,-655,66,123918,82,19235,336,0,25674,0.001
7000,2209,4889,127404,-2150,7710,123421,78,19229,336,0,25675,0.0009999999999999992
8000,663,9544,129759,-3981,773,124359,81,19230,319,0,25676,0.0010000000000000009
9000,176,-1832,125257,453,-462,128312,81,19231,332,0,25677,0.0009999999999999992
10000,5956,4012,127490,-617,-138,127607,70,19230,287,0,25678,0.0010000000000000009
11000,-364,5832,127160,6196,5451,126755,84,19221,344,1,25679,0.0009999999999999992
12000,-1548,6958,126951,-20199,8504,119272,58,19221,238,1,25680,0.0010000000000000009
13000,3237,1645,129095,12791,-9546,137401,70,19231,238,1,25681,0.0009999999999999992
14000,-1979,3508,129106,4003,3770,121878,66,19234,287,1,25682,0.0009999999999999992
15000,-31,-7148,125782,-19336,-14974,140157,66,19231,270,1,25683,0.0010000000000000009
16000,-5418,-2325,127737,-2514,12262,116739,77,19228,315,0,25684,0.0010000000000000009
17000,2464,19408,128596,5554,2958,127400,88,19234,360,0,25685,0.0009999999999999974
18000,-1032,6069,124792,-11809,9445,123587,74,19234,303,0,25686,0.0010000000000000009
19000,3777,5122,128136,1225,-622,130146,67,19234,303,0,25687,0.0010000000000000009
20000,-842,-6792,124651,1542,-9477,125903,79,19227,274,0,25688,0.0010000000000000009
21000,5060,11242,128252,-6346,7726,120052,79,19224,324,1,25689,0.0009999999999999974
