t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,12658,10624,128081,-4180,10066,120561,53,19240,229,1,15812,
1002,8391,-3648,125401,-3309,-4807,127546,53,19237,217,1,15813,0.0010019999999999999
2000,5607,-4336,127643,1085,-5518,128426,81,19238,332,0,15814,0.0009980000000000002
3000,7390,-1665,129340,70,-1894,131990,75,19240,307,0,15815,0.001
4000,11878,9998,128935,-4128,8884,120820,68,19237,279,0,15816,0.001
5001,5518,-4663,126617,3471,-4303,129858,61,19237,279,0,15817,0.0010009999999999993
6000,7603,-8045,127003,-3891,-9184,130327,80,19234,250,1,15818,0.0009990000000000008
7000,11666,2102,128550,-482,1404,124712,80,19230,328,1,15819,0.0009999999999999992
8000,8179,3247,127711,2831,1661,125893,62,19236,254,1,15820,0.0010000000000000009
9000,6965,-482,128426,-5042,-287,126468,64,19240,262,1,15821,0.0009999999999999992
10000,8577,-4499,127664,-2844,-5837,132698,55,19236,225,1,15822,0.0010000000000000009
11000,10611,4011,127076,2644,2231,123872,67,19236,225,1,15823,0.0009999999999999992
12000,5003,-3050,126158,5391,-4746,126339,87,19232,274,0,15824,0.0010000000000000009
13002,7756,-2768,125483,-6137,-4357,125333,87,19240,356,0,15825,0.0010019999999999994
14000,13410,2285,128763,-1423,1770,128047,70,19238,287,0,15826,0.0009979999999999989
15000,9634,5232,128061,7470,4263,124904,62,19234,254,0,15827,0.0010000000000000009
16000,9693,-10061,127406,2673,-8120,131074,71,19234,291,1,15828,0.0010000000000000009
17000,6623,-3477,127453,-7958,-8022,130682,58,19234,291,1,15829,0.0009999999999999974
18002,11092,3984,128568,1161,3392,126630,62,19237,238,1,15830,0.0010020000000000029
19000,10149,6891,128282,9125,6116,123042,62,19239,254,1,15831,0.0009979999999999989
20000,12610,-573,126880,-4034,2643,127307,55,19237,225,1,15832,0.0010000000000000009
21001,10776,-3878,126760,-2980,-6258,127466,65,19231,266,0,15833,0.0010009999999999984
22000,6609,2057,129287,7978,-282,128585,81,19233,332,0,15834,0.0009989999999999999
23002,11453,-3403,127871,1086,-2980,129732,73,19233,299,0,15835,0.0010019999999999994
24000,7797,1510,129014,-11565,2254,124434,60,19235,299,0,15836,0.0009980000000000024
25000,8632,-323,127114,5422,-1984,129458,60,19241,246,0,15837,0.0009999999999999974
26000,10805,-403,126434,8424,-444,125239,63,19235,258,1,15838,0.0010000000000000009
27000,10192,883,126758,-7868,441,125781,93,19233,381,1,15839,0.0010000000000000009
28000,6532,5568,127324,4031,5882,125167,63,19236,258,1,15840,0.0009999999999999974
29000,10372,8183,129530,6717,7072,128583,53,19236,217,1,15841,0.0010000000000000009
30000,11095,-8210,125944,-4040,-8385,132060,54,19235,217,1,15842,0.0010000000000000009
31002,8409,138,127269,-1838,975,122403,79,19236,221,0,15843,0.0010019999999999994
32002,5609,3815,128523,7248,1291,128286,79,19236,324,0,15844,0.0009999999999999974
33000,11552,1144,127580,-3659,1175,127509,68,19240,279,0,15845,0.0009980000000000058
34000,9321,3413,127536,-5798,1849,123779,65,19238,266,0,15846,0.000999999999999994
35000,7737,4575,126918,6552,4183,124375,58,19238,238,0,15847,0.0010000000000000009
36019,11460,1198,127239,2200,-538,126642,86,19236,238,1,15848,0.001018999999999999
37000,6807,-6195,127391,-11622,-6159,131574,61,19230,352,1,15849,0.0009810000000000027
38001,5685,4831,128893,-376,5066,123424,61,19240,250,1,15850,0.0010010000000000019
39001,5684,3358,126970,4626,1728,128846,58,19236,238,1,15851,0.0010000000000000009
40000,9917,2405,126072,-386,2763,119643,54,19242,221,1,15852,0.0009989999999999999
41000,6869,3906,126364,-3225,1998,130178,73,19228,299,0,15853,0.000999999999999994
42000,8136,-4267,126905,-2616,-4273,127281,68,19228,299,0,15854,0.0010000000000000009
43001,11325,11785,131487,-4279,11512,121667,64,19233,279,0,15855,0.0010010000000000019
44000,9883,-11893,127979,5044,-12667,135084,64,19239,262,0,15856,0.0009989999999999999
45000,1773,1609,127376,2019,57,124860,57,19235,233,0,15857,0.0010000000000000009
46000,5254,-1174,127651,-9161,-2007,130645,74,19232,303,1,15858,0.0010000000000000009
47000,5646,22467,128177,-8442,20624,112962,55,19237,225,1,15859,0.0010000000000000009
48000,11804,3868,129164,13279,4368,128014,62,19237,225,1,15860,0.0010000000000000009
49000,9881,-7153,126416,480,-8305,129580,55,19242,254,1,15861,0.000999999999999994
50000,7910,-9167,127606,-13111,-9776,130927,55,19236,225,1,15862,0.0010000000000000009
51000,5394,1762,129059,5338,-589,128454,70,19230,287,0,15863,0.0010000000000000009
52001,2438,5365,128834,5752,5300,125891,77,19234,315,0,15864,0.0010010000000000019
53000,8231,4102,127123,-19527,2653,125386,74,19239,303,0,15865,0.0009989999999999999
54000,3653,6307,127455,-2207,6893,122435,63,19239,303,0,15866,0.0010000000000000009
55001,11009,-4614,125870,8022,-5846,129776,69,19240,258,0,15867,0.001000999999999995
56000,10443,1669,129383,-968,558,124616,69,19230,283,1,15868,0.0009989999999999999
57000,5708,-6424,128549,-11793,-6676,131346,105,19240,430,1,15869,0.0010000000000000009
58000,5558,3090,128977,2898,324,127480,65,19237,266,1,15870,0.0010000000000000009
59001,8124,-1844,128466,581,-565,129065,56,19242,229,1,15871,0.0010010000000000019
60003,11745,2513,125802,-2629,-311,123057,61,19242,229,1,15872,0.001001999999999996
61002,4283,986,127110,-1207,2267,123667,88,19236,250,0,15873,0.0009990000000000068
62000,7150,-2887,127744,-23,-4784,131881,88,19235,360,0,15874,0.0009979999999999989
63000,12893,3071,129251,855,7178,123649,72,19237,295,0,15875,0.0010000000000000009
64000,5308,309,128521,571,-480,130275,61,19240,250,0,15876,0.0010000000000000009
65001,7942,-2204,126806,562,-1440,123695,65,19242,266,0,15877,0.0010010000000000019
66000,10672,-8611,127222,-492,-9437,132365,95,19242,266,1,15878,0.0009989999999999999
