t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,1349,-169,126772,-3204,-1468,127543,37,19236,152,0,44202,
1001,-1642,2992,129364,-5755,2056,126114,38,19236,152,0,44203,0.001001
1999,326,5184,129239,459,673,126536,34,19238,156,0,44204,0.000998
2999,223,1696,129245,-3115,-6140,130578,34,19236,139,0,44205,0.001
3999,3521,-4779,126890,-1255,-11296,131717,33,19234,135,0,44206,0.001
4999,3232,-5604,127568,4530,1111,126026,34,19239,139,0,44207,0.001
5999,1679,9933,127299,-2746,9233,122000,34,19236,139,0,44208,0.001
6999,1961,14095,127915,-6512,10307,123142,38,19236,139,0,44209,0.001
7999,-302,9822,126429,-591,-2085,129166,39,19236,156,1,44210,0.0009999999999999992
8999,-338,-3275,126763,-839,-7332,129788,39,19237,160,1,44211,0.0010000000000000009
9999,-621,-2322,128894,-5537,-2859,126029,38,19237,156,1,44212,0.0009999999999999992
10999,1075,2239,129652,-1647,597,125856,37,19236,152,1,44213,0.0010000000000000009
11999,2847,4973,128811,-605,559,126632,34,19236,139,1,44214,0.0009999999999999992
12999,1699,968,126904,-2650,-3262,127791,30,19236,139,1,44215,0.0010000000000000009
13999,714,-702,126937,-1762,-2442,127474,31,19236,123,1,44216,0.0009999999999999992
14999,-944,2408,128139,-1644,674,126500,31,19240,127,1,44217,0.0010000000000000009
15999,101,5258,128707,-3135,3135,126322,36,19240,147,1,44218,0.0009999999999999992
17013,1422,6864,129991,-2220,4892,126800,38,19234,156,0,44219,0.001014000000000001
17999,913,6666,128620,-1697,-857,128014,37,19235,152,0,44220,0.0009859999999999973
18999,2931,-1936,127235,237,-6728,128911,39,19235,160,0,44221,0.0010000000000000009
20001,1040,-3502,127666,-1874,-5860,129084,37,19236,160,0,44222,0.0010019999999999994
20999,145,-1085,127366,-1737,-1330,126404,34,19235,152,0,44223,0.0009980000000000024
21999,1734,5799,128919,-2902,5222,124323,34,19239,139,0,44224,0.0009999999999999974
22999,1514,6904,126973,-3151,1243,125668,33,19244,135,0,44225,0.0010000000000000009
23999,568,1372,127758,-280,-1781,127371,31,19236,127,0,44226,0.0010000000000000009
24999,-2692,2579,127658,-3619,-282,127596,33,19236,135,0,44227,0.0010000000000000009
25999,1448,3924,128101,-4669,2638,125875,38,19237,135,0,44228,0.0009999999999999974
26999,506,8127,127681,1091,4371,125948,42,19240,156,1,44229,0.0010000000000000009
27999,2139,5377,127918,-1887,1384,124302,42,19236,172,1,44230,0.0010000000000000009
28999,2379,504,127973,-4493,-5188,129879,37,19237,152,1,44231,0.0009999999999999974
29999,-174,-4208,127072,1220,-6893,129562,35,19236,143,1,44232,0.0010000000000000009
30999,2924,952,128356,-788,-1272,126761,34,19236,139,1,44233,0.0010000000000000009
31999,-306,4670,128876,-4253,3578,126954,32,19238,139,1,44234,0.0010000000000000009
32999,2230,9688,129200,-1497,4941,125545,31,19237,131,1,44235,0.0010000000000000009
33999,-741,327,126363,-918,-3649,130323,31,19241,127,1,44236,0.0010000000000000009
34999,2813,2526,126169,-279,-2198,125423,33,19238,135,1,44237,0.000999999999999994
35999,735,2078,128174,-1755,1096,125283,36,19235,147,0,44238,0.0010000000000000009
37001,-9,7792,128353,-2753,3723,127761,35,19232,143,0,44239,0.0010020000000000029
37999,2490,-907,127472,-4453,-5477,128800,36,19232,143,0,44240,0.0009979999999999989
38999,-630,742,128073,-2170,-1726,124293,37,19236,147,0,44241,0.0010000000000000009
39999,-1520,2584,128303,-4634,-525,128870,37,19234,152,0,44242,0.0010000000000000009
40999,-1265,4634,128132,-3808,2512,125327,35,19239,143,0,44243,0.0010000000000000009
41999,-595,5484,127750,-2138,314,128083,32,19239,131,0,44244,0.000999999999999994
42999,3423,2398,126815,-2141,-59,126323,34,19238,139,0,44245,0.0010000000000000009
43999,1508,3522,128271,325,-128,125595,36,19238,139,0,44246,0.0010000000000000009
44999,1092,2484,128160,-1721,-4195,129950,38,19237,147,0,44247,0.0010000000000000009
45999,224,-1077,128401,-3281,-1920,127564,38,19233,156,1,44248,0.0010000000000000009
46999,-1139,1924,127642,-2206,-1685,127837,44,19239,180,1,44249,0.0010000000000000009
47999,796,1907,128741,-2087,3448,124743,38,19236,156,1,44250,0.0010000000000000009
48999,-1599,9018,129221,-4261,1151,126443,41,19236,168,1,44251,0.0010000000000000009
49999,327,-1376,126462,-2112,-8957,131463,37,19236,168,1,44252,0.000999999999999994
50999,3441,-4025,127131,1420,-3057,128235,35,19237,152,1,44253,0.0010000000000000009
51999,1523,6173,129537,-3086,8741,121771,35,19237,143,1,44254,0.0010000000000000009
52999,2233,11249,128055,-6173,2529,126010,34,19237,139,1,44255,0.0010000000000000009
54000,-3111,1313,128712,-2703,-3308,128955,35,19237,143,1,44256,0.0010010000000000019
54999,-1120,-815,127100,-3881,-7680,132143,38,19237,156,1,44257,0.0009989999999999999
55999,-3409,-4293,128784,-5454,-549,126123,44,19237,156,0,44258,0.0010000000000000009
56999,333,8551,128604,335,8599,120712,33,19235,180,0,44259,0.000999999999999994
57999,6361,14237,129857,-753,6797,133123,33,19236,135,0,44260,0.0010000000000000009
58999,4880,4658,124853,-1304,-8152,122607,38,19241,156,0,44261,0.0010000000000000009
59999,1297,-9706,126957,279,-12883,139748,39,19234,160,0,44262,0.0010000000000000009
60999,-2902,-2444,129733,-1216,5594,121467,35,19237,143,0,44263,0.0010000000000000009
62000,571,15681,128041,-6185,9112,120645,34,19237,143,0,44264,0.0010010000000000019
62999,5218,6045,130054,2520,2478,130911,35,19237,139,0,44265,0.0009989999999999999
63999,-253,3462,125820,-844,-8277,128557,35,19241,143,0,44266,0.0010000000000000009
64999,-1474,-9313,126220,-6378,-8435,129587,39,19235,160,0,44267,0.0010000000000000009
65999,15,1593,126721,289,1597,124004,43,19232,176,1,44268,0.0010000000000000009
66999,2233,10662,128607,339,10768,120726,42,19237,172,1,44269,0.0010000000000000009
67999,4653,10757,128280,-5857,2781,127160,42,19237,172,1,44270,0.000999999999999987
68999,-1928,634,127017,-3630,-4118,128038,42,19234,172,1,44271,0.0010000000000000009
70001,-2579,-4345,127089,-2740,-8576,129676,40,19235,172,1,44272,0.0010020000000000029
70999,-2847,-613,128177,-3304,-1048,127279,40,19240,164,1,44273,0.0009979999999999989
71999,3051,4715,128954,-2516,2773,124248,36,19238,147,1,44274,0.0010000000000000009
73000,6199,6713,128158,585,2490,127369,38,19236,156,1,44275,0.0010010000000000019
74001,1518,5314,128157,751,1747,125135,38,19236,156,1,44276,0.0010010000000000019
74999,-1496,-741,126625,-4539,-6231,130339,42,19235,156,1,44277,0.0009979999999999989
75999,-2736,401,129004,-4915,57,126755,47,19234,172,0,44278,0.0010000000000000009
76999,136,4281,129579,-1335,263,129319,47,19234,192,0,44279,0.0010000000000000009
77999,3701,5256,129691,-1162,2420,126695,40,19238,164,0,44280,0.0010000000000000009
78999,1956,100,128346,-4529,-6022,129338,42,19240,172,0,44281,0.0010000000000000009
80001,3135,-2201,127697,1930,-5230,127816,40,19234,164,0,44282,0.0010020000000000029
80999,-1350,-3430,128508,442,-5564,129382,38,19234,164,0,44283,0.0009979999999999989
81999,1887,3320,128408,-9002,1027,127410,37,19235,156,0,44284,0.0010000000000000009
82999,-506,8226,129226,-3138,7492,124282,37,19236,152,0,44285,0.000999999999999987
83999,-1287,12364,126634,172,7382,124515,36,19237,147,0,44286,0.0010000000000000009
84999,-1166,5640,126836,-6114,2304,127353,40,19233,164,0,44287,0.0010000000000000009
85999,1725,6162,127130,993,3045,123973,47,19238,192,0,44288,0.0010000000000000009
86999,6838,-576,125391,757,-6907,131037,45,19238,192,1,44289,0.0010000000000000009
87999,2872,-8725,130473,-729,-10269,131377,43,19235,184,1,44290,0.0010000000000000009
88999,1618,54,127914,951,1396,122093,43,19238,176,1,44291,0.0010000000000000009
89999,1002,7528,130405,-8656,6349,127237,40,19238,164,1,44292,0.0010000000000000009
90999,-2833,7390,127793,-247,63,129328,38,19238,156,1,44293,0.0010000000000000009
91999,1130,1947,124999,-1689,-4656,127604,37,19238,152,1,44294,0.0010000000000000009
92999,567,-1098,127405,-276,2056,126837,35,19238,152,1,44295,0.0010000000000000009
93999,2564,8103,127263,194,4336,122475,38,19235,143,1,44296,0.0010000000000000009
94999,7284,7359,129244,272,3021,124968,38,19237,156,1,44297,0.0010000000000000009
95999,-1166,2615,128304,-1269,-7545,132226,44,19232,180,0,44298,0.0010000000000000009
97003,-249,-6687,126470,-8563,-8852,128814,46,19238,188,0,44299,0.001003999999999991
98002,-2998,-800,129201,-5762,4348,125586,41,19237,168,0,44300,0.0009989999999999999
98999,-1226,11737,127035,4586,8625,122612,41,19237,168,0,44301,0.0009969999999999979
99999,3205,10794,126306,-4209,6736,122463,40,19236,168,0,44302,0.0010000000000000009
100999,4482,6614,126701,-1537,-2269,127302,40,19240,164,0,44303,0.0010000000000000009
101999,5479,-2764,125818,7008,-6869,128287,36,19238,147,0,44304,0.0010000000000000009
102999,438,-995,129970,-2728,-1690,126335,35,19236,143,0,44305,0.0010000000000000009
103999,-1283,1565,130997,-10971,-1756,129694,37,19236,152,0,44306,0.0010000000000000009
104999,-1115,2275,129682,-1688,-423,129744,41,19236,152,0,44307,0.0010000000000000009
106000,-2919,3121,129118,463,-1552,129411,47,19235,168,1,44308,0.0010010000000000019
106999,910,747,127652,-5258,-3521,129131,47,19233,192,1,44309,0.0009989999999999999
107999,3568,-1936,126387,2126,-3894,127844,40,19233,164,1,44310,0.0010000000000000009
108999,4029,6182,129116,5366,7559,124046,39,19235,160,1,44311,0.0010000000000000009
109999,4297,11490,127438,-5250,4137,124953,37,19236,152,1,44312,0.0010000000000000009
110999,1164,2532,128757,-3662,520,126258,35,19236,143,1,44313,0.0010000000000000009
111999,-1546,402,127274,15,-6969,130311,34,19241,143,1,44314,0.0010000000000000009
113000,-2435,-4648,128290,-4892,-4921,129440,34,19238,139,1,44315,0.001000999999999988
113999,-1368,2511,128635,-5777,404,125997,34,19238,139,1,44316,0.0009989999999999999
114999,2339,5930,128305,1225,6053,123930,39,19236,160,1,44317,0.0010000000000000009
115999,4170,8954,126666,825,2515,124939,42,19232,172,1,44318,0.0010000000000000009
