t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,1370,7538,128509,-1948,3664,123606,135,19228,553,1,36859,
999,-1614,4450,127713,-5109,-980,126151,138,19228,553,1,36860,0.0009989999999999999
2000,-2238,-6779,128032,-2706,-10160,130776,141,19227,565,1,36861,0.0010010000000000002
2998,-2501,835,126839,-6122,1246,126136,141,19222,577,1,36862,0.0009979999999999998
3998,640,8102,129941,-4355,4460,124318,171,19223,700,0,36863,0.001
4998,-458,10923,129040,-635,6803,125368,111,19232,455,0,36864,0.001
5998,3872,-2080,127699,-4950,-6863,132381,124,19224,508,0,36865,0.001
6998,1160,-4379,128187,4630,-8092,124138,131,19224,537,0,36866,0.001
7998,-277,-3893,127311,-3055,-7547,131398,158,19227,537,1,36867,0.001
8999,-2098,10173,127177,-4594,7781,119110,118,19228,647,1,36868,0.0010010000000000002
9998,2323,10467,128865,-2939,295,128850,118,19228,483,1,36869,0.0009989999999999999
10998,1998,3705,126630,-3323,766,123164,131,19228,537,1,36870,0.0009999999999999992
11998,506,5540,128057,830,-9380,131079,133,19220,545,1,36871,0.0010000000000000009
12998,2552,-8973,125676,489,-4519,128511,158,19220,647,0,36872,0.0009999999999999992
13998,-1766,-830,129381,-1587,4867,128743,102,19218,647,0,36873,0.0010000000000000009
14998,5758,251,130296,-547,-4568,129841,124,19228,418,0,36874,0.0009999999999999992
15998,-307,-351,129244,1164,-1063,127777,124,19225,508,0,36875,0.0009999999999999992
17000,419,-504,128451,-5335,-1773,129012,125,19226,512,0,36876,0.0010019999999999994
17999,-1501,4218,126919,-1093,9636,118707,140,19227,573,0,36877,0.0009989999999999999
18998,325,8114,129258,-1935,-1769,132730,141,19227,577,1,36878,0.0009989999999999999
19998,3908,-676,128385,1239,-7583,123342,129,19230,577,1,36879,0.0010000000000000009
20998,2421,-1076,127488,1083,-3936,133711,127,19234,528,1,36880,0.0010000000000000009
21998,3811,-4770,129412,2572,-4186,126962,127,19222,520,1,36881,0.0010000000000000009
22998,1578,4158,126817,-2299,2789,123824,137,19218,561,0,36882,0.0009999999999999974
24000,2088,3528,129456,-1711,-1634,130799,122,19232,500,0,36883,0.0010020000000000029
