t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,-549,4044,122264,-262,-1966,139247,302,19220,1192,1,60237,
1002,2239,452,126272,-13112,20,122158,302,19202,1237,1,60238,0.0010019999999999999
2001,-1492,14581,129991,5961,9230,119405,311,19198,1274,1,60239,0.0009989999999999999
3000,2302,-9348,126352,8139,-14013,141206,343,19192,1405,0,60240,0.0009990000000000003
4000,-8664,2313,131678,-24076,-1666,118621,246,19223,1008,0,60241,0.001
5000,5132,-1258,125953,7512,-3014,135730,290,19223,1188,0,60242,0.001
6001,-5266,22682,128215,-3472,20640,108984,326,19193,1188,0,60243,0.0010009999999999993
7000,1144,3625,127107,-4222,-1363,126098,346,19198,1335,0,60244,0.0009989999999999999
8000,1105,-17379,122905,3545,-20204,138087,346,19197,1417,1,60245,0.0010000000000000009
9000,2009,13349,135059,-5704,11901,118164,216,19216,885,1,60246,0.0009999999999999992
10001,12723,-1516,129153,6303,-4445,131470,283,19201,1159,1,60247,0.0010010000000000002
11000,-4560,2281,129574,9369,-680,128938,323,19201,1323,1,60248,0.0009989999999999999
12001,-6498,-7076,123447,-17291,-10404,128549,344,19201,1323,1,60249,0.0010010000000000002
13000,-7607,19434,129409,-8507,14275,126507,395,19193,1409,1,60250,0.0009989999999999999
14001,6179,3833,126874,1364,2232,124739,395,19211,1618,0,60251,0.0010010000000000002
15000,3223,8294,124919,3550,2237,121533,261,19205,1069,0,60252,0.0009989999999999999
16001,1831,-3905,129244,-5964,-5205,129358,318,19193,1302,0,60253,0.0010009999999999984
17000,2612,-5709,127118,5526,-11321,134398,344,19193,1409,0,60254,0.0009989999999999999
18000,-990,10,128894,-2241,-3263,131170,383,19200,1409,1,60255,0.0010000000000000009
19000,226,5334,130583,-8722,656,125595,228,19217,1569,1,60256,0.0010000000000000009
20003,4737,19910,131636,5439,21616,115976,228,19215,934,1,60257,0.0010030000000000004
21000,2645,-18587,125157,-5435,-18002,134294,284,19200,1163,1,60258,0.0009969999999999979
22000,-1150,-4903,128915,4662,-10611,130886,320,19197,1311,1,60259,0.0010000000000000009
23003,2964,7855,129474,1638,4886,124832,367,19222,1503,0,60260,0.0010030000000000004
24000,2115,11767,132146,-716,6441,124204,269,19222,1503,0,60261,0.0009970000000000014
25000,8044,-5686,126309,3521,-2387,129365,317,19207,1102,0,60262,0.0009999999999999974
26000,-2071,-8093,123799,4030,-17746,134034,317,19198,1298,0,60263,0.0010000000000000009
27000,-1865,9590,127967,1930,5830,119732,319,19197,1307,0,60264,0.0010000000000000009
28000,961,-2322,126055,-8207,-1743,128889,358,19189,1466,1,60265,0.0009999999999999974
29000,3567,9006,129567,-407,2277,126790,276,19226,1130,1,60266,0.0010000000000000009
30000,3741,1024,125052,2455,-417,127222,270,19226,1130,1,60267,0.0010000000000000009
31000,1153,289,127811,522,-2641,129158,313,19200,1106,1,60268,0.0010000000000000009
32000,-1482,-8437,125117,3583,-9384,130259,313,19201,1282,1,60269,0.0010000000000000009
33000,4400,7409,128729,-4330,-2471,122069,349,19198,1429,0,60270,0.0010000000000000009
34000,2877,19926,130586,134,15726,126291,244,19219,999,0,60271,0.000999999999999994
35000,8635,-7087,125901,4852,-4340,125966,278,19199,1139,0,60272,0.0010000000000000009
36000,-2585,-292,128270,-2500,-2651,128988,307,19199,1139,0,60273,0.0010000000000000009
37000,-2216,-5829,125907,3823,-7998,129837,339,19195,1257,0,60274,0.0010000000000000009
38000,3755,10693,131215,-620,7600,124540,339,19196,1388,1,60275,0.0010000000000000009
39000,6902,4221,128262,1291,-2897,130213,182,19216,745,1,60276,0.0010000000000000009
40000,6452,4458,127809,3081,7766,121166,284,19196,1163,1,60277,0.0010000000000000009
41000,-3784,585,127700,1043,-8588,128990,306,19197,1253,1,60278,0.000999999999999994
42000,-2099,-1667,126616,-6255,-3265,130648,328,19197,1253,1,60279,0.0010000000000000009
43001,165,-426,129162,-3951,-2802,126501,385,19185,1343,0,60280,0.0010010000000000019
44000,3205,4910,130020,3856,5577,125239,385,19225,1577,0,60281,0.0009989999999999999
45000,5303,5041,129301,4139,-157,125084,270,19201,1106,0,60282,0.0010000000000000009
46000,-1966,-8246,126481,-1476,-11571,133563,317,19204,1298,0,60283,0.0010000000000000009
47000,-527,-89,128723,-4874,-1628,125983,338,19187,1384,0,60284,0.0010000000000000009
48000,1190,13987,130403,-4837,12292,125370,350,19187,1384,1,60285,0.0010000000000000009
49000,2629,4012,126167,3874,64,125255,240,19231,1433,1,60286,0.000999999999999994
50000,1617,50,124167,-4240,-3574,124518,240,19204,983,1,60287,0.0010000000000000009
51001,-4550,-1390,127924,1064,-5794,129730,288,19201,1180,1,60288,0.0010010000000000019
52002,-849,-1972,126198,2882,-3859,129659,327,19200,1339,0,60289,0.0010010000000000019
53000,-1428,17995,129381,-11334,14430,124983,271,19222,1110,0,60290,0.0009979999999999989
54000,11914,5213,128814,1217,1516,124789,283,19222,1159,0,60291,0.0010000000000000009
55000,-1089,1565,125890,2472,-2455,126135,317,19199,1159,0,60292,0.0010000000000000009
56000,-6246,-9312,128469,-4564,-10729,122794,331,19200,1298,0,60293,0.000999999999999994
57000,-508,2271,126136,-8651,-1608,130987,331,19192,1356,0,60294,0.0010000000000000009
58000,3359,12933,129883,6992,9936,124102,377,19189,1544,1,60295,0.0010000000000000009
59000,-3763,13812,126963,-3125,11517,122258,182,19217,745,1,60296,0.0010000000000000009
60000,5379,-3002,126795,-12454,-6177,127040,291,19217,1192,1,60297,0.0010000000000000009
61000,-2288,-2368,129780,14688,-5574,129930,326,19194,1192,1,60298,0.0010000000000000009
62000,-311,-9980,126476,1102,-13705,132685,359,19196,1335,1,60299,0.0010000000000000009
63000,-5378,14335,131112,-17788,9657,122546,359,19209,1470,0,60300,0.0010000000000000009
64000,-1777,15455,127682,-7792,14666,123831,226,19215,926,0,60301,0.0010000000000000009
65000,5091,10013,126403,9517,8734,121857,301,19200,1233,0,60302,0.0010000000000000009
66000,-5783,-7429,126484,1018,-7580,130401,336,19200,1376,0,60303,0.0010000000000000009
67000,2045,-6494,126112,-10884,-12941,129148,362,19198,1376,1,60304,0.000999999999999987
68000,1118,14811,134564,4361,13474,122632,233,19212,1483,1,60305,0.0010000000000000009
69000,17387,-881,127689,2352,-3617,132066,233,19211,954,1,60306,0.0010000000000000009
70000,-3677,-128,129192,-1958,-2100,124879,297,19194,1216,1,60307,0.0010000000000000009
71000,-11716,-4388,126865,-7180,-7333,126859,325,19201,1331,1,60308,0.0010000000000000009
72000,1030,9418,126526,-5029,731,128848,363,19194,1487,1,60309,0.0010000000000000009
73000,-762,6515,129077,-1801,4557,125067,418,19194,1487,0,60310,0.0010000000000000009
74000,3911,7684,127029,2420,1922,125588,291,19228,1712,0,60311,0.0010000000000000009
75001,1067,-3334,128727,4289,-1639,124712,291,19191,1192,0,60312,0.0010010000000000019
76000,-604,-9938,127643,-1162,-13244,133465,331,19197,1356,0,60313,0.0009989999999999999
77000,684,3722,126757,1966,-1501,128495,355,19191,1454,0,60314,0.0010000000000000009
78002,-1196,10197,129998,-11702,5017,124140,377,19233,1544,1,60315,0.0010020000000000029
79002,3889,10433,128885,572,11936,124764,264,19233,1544,1,60316,0.0010000000000000009
80000,296,-3959,124552,5857,-5210,129485,309,19201,1081,1,60317,0.0009979999999999989
81000,-344,-6004,127846,-792,-10527,128199,309,19202,1266,1,60318,0.0010000000000000009
82000,0,2484,126618,-680,-3662,129283,341,19198,1397,0,60319,0.000999999999999987
83000,6069,1074,132009,-1301,2745,126151,267,19224,1094,0,60320,0.0010000000000000009
84002,11895,7255,128362,7319,-886,127110,284,19201,1163,0,60321,0.0010020000000000029
85000,1328,-2714,126548,-4939,-3146,126023,320,19201,1163,0,60322,0.0009979999999999989
86000,-3370,-829,128470,4560,-5532,127635,342,19200,1311,0,60323,0.0010000000000000009
87000,896,-6210,127615,-2983,-7655,133017,342,19195,1401,0,60324,0.0010000000000000009
88000,4624,8033,130568,-7157,13247,121755,385,19193,1577,1,60325,0.0010000000000000009
89000,-2029,10849,130248,5301,-4912,124756,182,19222,745,1,60326,0.0010000000000000009
90000,7482,-3015,126681,991,-7268,130612,281,19192,1151,1,60327,0.0010000000000000009
91000,-2502,-5358,127902,2862,-13566,130029,315,19192,1151,1,60328,0.0010000000000000009
92000,4249,346,126915,-1206,1635,124713,361,19201,1290,0,60329,0.0010000000000000009
93000,2983,18771,132225,-4066,13452,121982,361,19215,1479,0,60330,0.0010000000000000009
94002,8267,-279,127877,3290,-6296,129763,244,19213,999,0,60331,0.0010020000000000029
95000,-192,-5464,126999,-744,-8311,127200,292,19200,1196,0,60332,0.0009979999999999989
96000,-3597,-10792,126932,5320,-11945,131742,314,19197,1286,0,60333,0.0010000000000000009
97000,3244,3691,128606,-5779,1909,127219,348,19197,1425,1,60334,0.000999999999999987
98000,2701,11219,129285,5638,8121,123695,245,19235,1425,1,60335,0.0010000000000000009
99000,11626,4363,128397,2753,352,128507,299,19206,1003,1,60336,0.0010000000000000009
100002,-3666,-2506,125314,28,-5717,128867,299,19203,1225,1,60337,0.0010020000000000029
101000,-6655,-2602,126640,-2762,-5204,128375,316,19200,1294,1,60338,0.0009979999999999989
102000,-810,5034,127654,-7128,1542,127750,348,19185,1425,0,60339,0.0010000000000000009
103000,3853,13816,130124,-940,10516,123281,254,19185,1040,0,60340,0.0010000000000000009
104000,5049,1472,124601,4464,-3108,126234,287,19219,1040,0,60341,0.0010000000000000009
105000,-1261,-1162,127380,-4570,-4796,127581,319,19200,1175,0,60342,0.0010000000000000009
106000,-868,-3571,128307,-2583,-6050,127381,319,19199,1307,0,60343,0.0010000000000000009
107000,911,2214,129323,1483,-1917,128393,348,19189,1425,1,60344,0.0010000000000000009
108000,-1428,11326,130289,-2140,6909,123397,196,19225,803,1,60345,0.0010000000000000009
109000,6213,2024,124707,-1188,-2286,129060,263,19225,1077,1,60346,0.0010000000000000009
110000,-2284,1073,128154,-62,-1046,123836,301,19199,1077,1,60347,0.0010000000000000009
111000,-4454,-2207,127177,6409,-6361,127846,334,19198,1233,1,60348,0.0010000000000000009
112000,607,13123,130819,-13571,9844,127417,334,19193,1368,0,60349,0.000999999999999987
113000,5350,6631,128084,2978,3510,128210,172,19213,704,0,60350,0.0010000000000000009
114000,5227,2751,127591,3493,271,129313,300,19199,1229,0,60351,0.0010000000000000009
115003,-8239,4940,126409,-10072,2162,122114,326,19196,1335,0,60352,0.0010030000000000039
116002,-2343,-8448,126434,-3233,-11333,130079,347,19196,1335,0,60353,0.0009989999999999999
117000,-4129,6466,128073,-2073,705,126338,398,19188,1421,1,60354,0.0009979999999999989
118000,1746,14505,129482,87,15622,119436,398,19229,1630,1,60355,0.0010000000000000009
119000,5709,-3496,122611,-214,-6895,134372,252,19207,1032,1,60356,0.0010000000000000009
120000,-1395,13426,130051,-17876,9414,112592,304,19196,1245,1,60357,0.0010000000000000009
121000,6256,-8672,129071,19612,-8087,134389,339,19194,1388,1,60358,0.0010000000000000009
122000,-4481,-5678,129000,-3797,-12896,134407,390,19194,1388,0,60359,0.0010000000000000009
123000,-7044,2797,126203,-20647,-8379,124030,271,19235,1597,0,60360,0.0010000000000000009
124000,-98,17189,125701,12742,10364,129857,271,19201,1110,0,60361,0.0010000000000000009
125002,-4583,21778,128952,-7263,25792,108875,312,19197,1278,0,60362,0.0010020000000000029
126002,864,-14512,125506,173,-13924,140517,337,19196,1380,1,60363,0.0010000000000000009
127000,2356,1365,130177,1497,-6873,121144,313,19231,1282,1,60364,0.0009979999999999989
128000,11955,10577,130727,-1041,6615,129166,270,19231,1282,1,60365,0.0010000000000000009
129000,4439,-2664,127129,464,-1054,126381,320,19203,1106,1,60366,0.0010000000000000009
130000,-5395,-4362,128226,5278,-3839,130832,320,19200,1311,1,60367,0.0010000000000000009
131000,-7416,-946,125555,-7312,-8427,128645,335,19200,1372,1,60368,0.0010000000000000009
132000,-3695,16888,130628,-17983,15732,119844,373,19183,1528,0,60369,0.0010000000000000009
133000,6391,4736,125937,2158,-175,124503,183,19212,750,0,60370,0.0010000000000000009
134000,5971,479,127811,16218,-4425,129464,311,19212,750,0,60371,0.0009999999999999731
135000,-951,-10430,127592,-13357,-13516,132488,345,19194,1274,0,60372,0.0010000000000000009
136000,-2803,-4377,129158,5985,-4305,130550,345,19198,1413,0,60373,0.0010000000000000009
137000,1907,9193,130436,-6949,7802,126670,372,19185,1524,1,60374,0.0010000000000000009
138000,795,18146,127956,1041,12969,119502,171,19218,700,1,60375,0.0010000000000000009
139000,2314,2494,124972,266,-4969,127774,272,19202,1114,1,60376,0.0010000000000000009
140000,-1251,-8946,126082,-908,-13296,129487,310,19202,1270,1,60377,0.0010000000000000009
