t_us,ax,ay,az,ax1,ay1,az1,shunt_raw,bus_raw,curr_raw,pg_rpm,seq,dt
0,520,5691,128403,-3124,2213,127182,67,19229,274,0,24521,
999,2840,1713,127535,-6078,-642,126766,69,19237,274,0,24522,0.0009989999999999999
1999,-1257,-2870,127176,-1635,-4852,129679,79,19230,283,0,24523,0.001
2999,494,294,127418,-1618,664,125881,79,19230,324,0,24524,0.001
3999,-582,6385,129043,-7883,5370,124545,87,19231,356,1,24525,0.001
5000,2629,4707,129286,-199,3165,127938,61,19236,250,1,24526,0.0010010000000000002
6003,2029,568,127478,-585,-1011,127296,66,19228,270,1,24527,0.0010029999999999996
7001,981,-844,127283,-3964,-2765,129043,67,19228,270,1,24528,0.0009979999999999998
7999,271,1557,128010,-483,1522,126460,65,19230,274,1,24529,0.0009979999999999998
8999,15,5289,128401,-2345,4297,125677,65,19233,266,1,24530,0.0010000000000000009
10001,2229,4259,128568,-5729,1933,127205,62,19231,254,1,24531,0.0010019999999999994
11001,-551,612,127937,705,-1257,126920,67,19230,274,1,24532,0.0010000000000000009
12001,1169,344,127152,-1142,-831,126235,73,19229,299,0,24533,0.0009999999999999992
12999,1736,1492,128365,-4768,1395,128130,62,19229,299,0,24534,0.0009980000000000006
13999,436,3948,128409,-659,2370,126716,72,19230,254,0,24535,0.0009999999999999992
14999,1844,3620,128053,-3149,2521,126058,72,19227,295,0,24536,0.0010000000000000009
16000,-2874,1361,128381,-4483,-348,127580,74,19234,303,0,24537,0.0010010000000000002
16999,-438,1041,127826,-4311,-317,127445,69,19230,283,0,24538,0.0009989999999999999
17999,1698,1971,127965,-2492,694,126869,69,19231,283,0,24539,0.0009999999999999974
18999,208,1986,128148,-1949,141,127360,71,19231,283,0,24540,0.0010000000000000009
19999,2378,1079,127338,-2205,113,126973,74,19231,291,0,24541,0.0010000000000000009
20999,295,2883,127952,-1378,1605,126407,74,19231,303,0,24542,0.0010000000000000009
21999,316,3075,128299,-4218,1738,127540,81,19229,332,0,24543,0.0009999999999999974
23000,102,1377,127727,-3154,-402,127878,89,19228,365,0,24544,0.0010010000000000019
23999,196,2555,128145,-3640,1137,126580,100,19227,410,1,24545,0.0009989999999999999
24999,479,2222,128346,-1461,1575,126722,62,19227,410,1,24546,0.0010000000000000009
25999,3899,3294,127886,259,1905,125508,75,19232,254,1,24547,0.0009999999999999974
26999,1210,649,128345,-2786,-832,128098,75,19229,307,1,24548,0.0010000000000000009
27999,-179,-1655,127198,-799,-3226,129303,72,19231,295,1,24549,0.0010000000000000009
28999,289,3724,128085,-3751,2276,125764,73,19231,299,1,24550,0.0009999999999999974
29999,599,6372,128388,-5301,4899,126512,70,19230,287,1,24551,0.0010000000000000009
30999,2120,4289,127184,-1597,2901,126146,72,19230,295,1,24552,0.0010000000000000009
31999,-1309,2922,127945,309,1684,124574,83,19230,295,1,24553,0.0010000000000000009
32999,-154,-2877,127056,-6881,-4271,129079,58,19227,340,0,24554,0.0010000000000000009
33999,1197,-1301,128798,-1197,-962,127847,58,19231,238,0,24555,0.0010000000000000009
34999,2077,4090,128682,-1514,2319,127459,73,19230,299,0,24556,0.000999999999999994
35999,293,5145,128027,-4995,3321,126245,74,19232,303,0,24557,0.0010000000000000009
36999,-276,2974,127584,-2254,1943,126412,72,19232,295,0,24558,0.0010000000000000009
38002,1100,1338,127679,-1883,-148,127758,71,19231,295,0,24559,0.0010030000000000039
39000,1166,1553,127525,-2388,-2,125979,73,19232,291,0,24560,0.0009979999999999989
39999,1920,2483,128728,-3313,1174,125840,73,19230,299,0,24561,0.0009989999999999999
40999,-1048,-342,128085,1180,-1230,129082,78,19229,319,0,24562,0.0010000000000000009
41999,1396,2540,128240,-4964,198,126575,81,19231,332,1,24563,0.000999999999999994
42999,5018,4148,128869,-3571,3834,126885,62,19231,254,1,24564,0.0010000000000000009
43999,3072,4222,127535,4889,2924,126006,78,19231,254,1,24565,0.0010000000000000009
44999,908,1061,127679,-772,699,127434,83,19235,319,1,24566,0.0010000000000000009
45999,-790,632,128547,-7020,688,127197,83,19227,340,1,24567,0.0010000000000000009
46999,-1658,647,128404,-4738,-2172,129799,81,19231,332,1,24568,0.0010000000000000009
47999,1606,874,127738,395,2928,125490,75,19236,307,1,24569,0.0010000000000000009
48999,2666,7953,128915,-3350,4772,125108,71,19234,291,1,24570,0.0010000000000000009
49999,1939,-485,126783,1421,-1765,129142,78,19234,291,1,24571,0.000999999999999994
51001,3392,3616,127817,-4013,2769,124965,82,19229,319,1,24572,0.0010020000000000029
52001,-571,2105,128675,-3125,80,128437,82,19230,336,1,24573,0.0010000000000000009
53002,-1800,1799,128245,-4938,359,126079,88,19228,360,0,24574,0.0010010000000000019
53999,280,-808,127109,-2050,-1973,128980,71,19234,291,0,24575,0.0009969999999999979
54999,2433,2291,128599,3074,1912,126809,69,19226,283,0,24576,0.0010000000000000009
55999,1995,1867,126526,-3449,-5,125891,76,19226,283,0,24577,0.0010000000000000009
56999,1550,5906,128420,-1527,5740,124396,75,19228,311,0,24578,0.000999999999999994
57999,337,4148,129143,-4369,881,128587,75,19230,307,0,24579,0.0010000000000000009
58999,2465,1212,127631,-4414,323,127372,74,19234,303,0,24580,0.0010000000000000009
59999,-363,1417,128221,1413,-1207,127572,72,19228,295,0,24581,0.0010000000000000009
60999,1172,-2577,127012,-2758,-3616,128194,77,19228,315,0,24582,0.0010000000000000009
61999,312,2286,127905,-2026,1280,126100,84,19228,315,0,24583,0.0010000000000000009
62999,325,4510,128725,-4914,3826,126968,68,19227,344,1,24584,0.0010000000000000009
63999,4473,7375,128236,-1774,5443,125408,68,19237,279,1,24585,0.0010000000000000009
64999,2200,2808,127926,-1127,1390,126691,70,19230,287,1,24586,0.0010000000000000009
66001,838,-903,127921,-687,-3065,128606,73,19228,299,1,24587,0.001001999999999989
67001,-365,-3726,126656,-1565,-4999,129157,70,19230,287,1,24588,0.0010000000000000009
67999,564,3180,128495,-4427,2239,126826,67,19230,287,1,24589,0.0009979999999999989
68999,2966,5101,128678,-657,4078,126190,67,19231,274,1,24590,0.0010000000000000009
69999,1801,7903,128501,-476,6473,122884,67,19230,274,1,24591,0.0010000000000000009
70999,-111,1251,127970,-3805,-404,128430,71,19232,291,1,24592,0.0010000000000000009
71999,1502,-2718,127535,-3812,-4152,130318,80,19229,328,0,24593,0.0010000000000000009
72999,-276,63,127447,-550,-1102,128145,67,19232,274,0,24594,0.0010000000000000009
73999,2933,5224,128494,-1454,3432,125276,65,19232,266,0,24595,0.0010000000000000009
74999,963,2553,128005,-3688,1116,125754,72,19226,266,0,24596,0.0010000000000000009
76003,-703,1883,128314,-2100,392,127237,72,19230,295,0,24597,0.0010040000000000049
77006,-143,335,127845,-4571,-1047,128679,72,19230,295,0,24598,0.00100299999999999
77999,-42,4822,128223,-4413,3558,125950,69,19230,283,0,24599,0.0009930000000000078
78999,1574,4720,127773,-744,3789,125638,66,19230,270,0,24600,0.0010000000000000009
79999,2321,470,127443,-543,-753,127452,69,19230,283,0,24601,0.0010000000000000009
80999,1189,-1618,127690,-2500,-2846,127823,76,19230,283,0,24602,0.0010000000000000009
81999,615,-696,128014,-2213,-2541,128682,84,19226,311,0,24603,0.0010000000000000009
82999,-756,5260,128948,-3792,3670,125795,84,19230,344,1,24604,0.000999999999999987
83999,293,6387,128808,-4911,5398,126090,68,19234,279,1,24605,0.0010000000000000009
84999,2671,3329,127171,-112,2312,126490,62,19226,254,1,24606,0.0010000000000000009
86000,-133,-1070,126679,-1652,-2013,126956,66,19231,270,1,24607,0.0010010000000000019
87000,1792,-1123,127439,-1755,-2967,127629,66,19231,270,1,24608,0.0010000000000000009
88001,842,301,128453,-1964,-1341,128591,65,19230,270,1,24609,0.0010010000000000019
88999,1665,5480,129090,-2902,3407,125960,65,19229,266,1,24610,0.0009979999999999989
90000,1192,6300,128488,-3033,5231,124690,63,19229,258,1,24611,0.0010010000000000019
90999,-744,2379,127304,-3350,1561,126843,66,19229,270,1,24612,0.0009989999999999999
91999,-1088,-1264,126365,-2133,-1781,129205,76,19232,311,1,24613,0.0010000000000000009
92999,-444,461,127399,-4377,-2540,126677,67,19232,311,0,24614,0.0010000000000000009
93999,2538,2810,129473,-2688,2969,126324,65,19234,274,0,24615,0.0010000000000000009
95000,1917,3575,128582,-1394,1708,126121,65,19236,266,0,24616,0.0010010000000000019
96001,-180,1724,128107,-2259,-663,127564,66,19230,270,0,24617,0.001000999999999988
96999,-23,-512,127366,-2905,-1379,128080,62,19233,254,0,24618,0.0009980000000000128
97999,199,1610,127478,-3147,141,127367,61,19232,250,0,24619,0.000999999999999987
98999,298,5250,127779,-1404,5085,124328,61,19232,250,0,24620,0.0010000000000000009
99999,1864,3766,128338,-3082,1035,127429,69,19232,250,0,24621,0.0010000000000000009
100999,409,762,128428,-840,-402,127899,69,19232,283,0,24622,0.0010000000000000009
102002,1089,-21,127902,-2921,-1230,128286,76,19232,311,1,24623,0.0010030000000000039
102999,3134,3234,128895,-1987,1310,126125,54,19232,221,1,24624,0.0009969999999999979
103999,1038,213,127268,-2787,-884,127968,62,19227,254,1,24625,0.0010000000000000009
104999,864,4787,128846,-3715,3966,124854,66,19227,254,1,24626,0.0010000000000000009
106000,-37,2211,128382,-521,-400,129534,63,19233,270,1,24627,0.0010010000000000019
106999,-2801,67,126970,-1569,611,127176,63,19234,258,1,24628,0.0009989999999999999
107999,3649,10382,130455,-8951,8475,121949,62,19232,254,1,24629,0.0010000000000000009
108999,2474,-4835,126172,702,-7493,133104,63,19232,258,1,24630,0.0010000000000000009
109999,-865,800,128262,4862,634,124466,67,19228,274,1,24631,0.0010000000000000009
110999,3387,2029,128195,-10130,484,127702,76,19228,274,1,24632,0.0010000000000000009
111999,-3061,4250,128442,-4956,2849,127214,84,19232,311,1,24633,0.0010000000000000009
112999,-1862,5485,128024,471,4784,124491,84,19229,344,0,24634,0.000999999999999987
113999,4321,3762,126796,-5990,562,127862,59,19235,242,0,24635,0.0010000000000000009
114999,-587,-2533,127367,-2914,-3571,126498,65,19230,266,0,24636,0.0010000000000000009
115999,3896,315,127374,896,-835,127783,67,19230,274,0,24637,0.0010000000000000009
117004,1352,1952,128289,-177,416,128121,66,19230,270,0,24638,0.0010050000000000059
117999,-2815,7398,129200,-4499,6515,124662,65,19232,270,0,24639,0.0009949999999999959
118999,4507,4486,127792,-6240,2393,125891,65,19229,266,0,24640,0.0010000000000000009
119999,-2445,-1604,127091,-950,-2873,129612,68,19229,279,0,24641,0.0010000000000000009
121001,-261,-274,127038,-619,-1681,126816,77,19229,315,0,24642,0.0010020000000000029
121999,1281,5154,127892,-5735,3752,125112,89,19229,365,1,24643,0.0009979999999999989
122999,192,5328,128565,-2607,2290,125904,58,19229,238,1,24644,0.0010000000000000009
123999,4756,2823,127760,2993,1412,127648,64,19232,238,1,24645,0.0010000000000000009
124999,1219,-186,128141,-4246,-1599,127459,65,19230,262,1,24646,0.0010000000000000009
125999,-326,-392,127519,-2461,-2086,128488,65,19231,266,1,24647,0.0010000000000000009
126999,813,4097,128351,687,2621,125956,64,19232,262,1,24648,0.0010000000000000009
128002,137,4820,128008,-5772,3427,126820,65,19232,266,1,24649,0.0010030000000000039
129001,1238,3457,127996,-4287,2136,126575,66,19232,270,1,24650,0.0009989999999999999
130001,1598,1381,127388,2658,246,125773,73,19232,270,0,24651,0.0010000000000000009
131001,243,7,126991,-3061,-1508,127450,58,19225,299,0,24652,0.0010000000000000009
132002,2417,2674,128358,-4648,91,127453,58,19228,238,0,24653,0.0010009999999999741
132999,627,3178,128435,-1300,2180,126964,70,19228,287,0,24654,0.0009970000000000256
134001,-983,2519,127986,-3047,1340,127007,75,19230,307,0,24655,0.0010019999999999751
134999,-2006,2743,128354,-5643,1274,126704,73,19230,299,0,24656,0.0009979999999999989
135999,884,1909,128021,-3904,920,127493,71,19226,299,0,24657,0.0010000000000000009
